propertyName,city,state,venueType,brandChain,eventRooms,guestRooms,largestRoomSqFt,totalEventSpaceSqFt,imageFile,imageUrl,sourceUrl,managementCompany,hospitalityOnlineUrl,managementMatchConfidence,hospitalityOnlineMatchedName
DoubleTree by Hilton Hotel Miami Airport & Convention Center,Miami,FL,Hotel,Hilton,42,334,111340,172000,images/doubletree-by-hilton-hotel-miami-airport-and-convention-center-miami-fl.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2FCSN%2F0f0e98e2-d73e-48a3-9a09-51b3baddfaf4%2Fimages%2F87be38a40e6b4d1a85ce92bb6ff20658!_!300719bc37ba322ca1a74f361b7cd4eb.jpg&w=384&q=30,https://www.cvent.com/venues/en-US/miami/hotel/doubletree-by-hilton-hotel-miami-airport-convention-center/venue-0f0e98e2-d73e-48a3-9a09-51b3baddfaf4?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
The Resort at Pelican Hill,Newport Beach,CA,Resort,Marriott Bonvoy,12,332,5421,23000,images/the-resort-at-pelican-hill-newport-beach-ca.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2Fdcc2d68b-1fe1-4f7d-b905-8a9c4e85ca87%2Fimages%2Fd9c0603e104a4c398e4312fd38850e4f_large!_!c2934fb6fb27fe57e016e5916e558037.jpg&w=384&q=30,https://www.cvent.com/venues/en-US/newport-beach/resort/the-resort-at-pelican-hill/venue-dcc2d68b-1fe1-4f7d-b905-8a9c4e85ca87?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Renaissance Dallas Hotel - Newly Renovated,Dallas,TX,Hotel,Marriott Bonvoy,34,514,25000,51753,images/renaissance-dallas-hotel-newly-renovated-dallas-tx.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2F552c5586-4783-4e91-ba17-30f3e6c40b06%2Fimages%2Fc8d2c6d1531941cbae5a2b463c77edcd_large!_!931a642e8bfd3e842256db0fca92cf64.jpg&w=384&q=30,https://www.cvent.com/venues/en-US/dallas/hotel/renaissance-dallas-hotel-newly-renovated/venue-552c5586-4783-4e91-ba17-30f3e6c40b06?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,Marriott International,https://www.hospitalityonline.com/renaissance-dallas-hotel,1.000,Renaissance Dallas Hotel
"The Ritz-Carlton O‘ahu, Turtle Bay",Kahuku,HI,Resort,Marriott Bonvoy,21,450,202500,247737,images/the-ritz-carlton-o-ahu-turtle-bay-kahuku-hi.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2Ff96503ac-37b2-4859-a877-d0a401113f0d%2Fimages%2Fc47eba2a7bf94bde9843ea06e0189bcc_large!_!bbc55fbdd8bbdd6a0a225c269cf6aed1.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/kahuku/resort/the-ritz-carlton-o-ahu-turtle-bay/venue-f96503ac-37b2-4859-a877-d0a401113f0d?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Hyatt Regency Sonoma Wine Country,Santa Rosa,CA,Hotel,Hyatt Hotels,11,253,6944,40000,images/hyatt-regency-sonoma-wine-country-santa-rosa-ca.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2F6d2952e6-5f50-4d7e-ba58-87fe268da233%2Fimages%2F58f82b454bf84311a0c2eda54eb86f89_large!_!66730c1262f67814e333e01e262d5797.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/santa-rosa/hotel/hyatt-regency-sonoma-wine-country/venue-6d2952e6-5f50-4d7e-ba58-87fe268da233?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Fairmont Orchid Hawai'i,Kohala Coast,HI,Hotel,Accor,26,538,14000,108000,images/fairmont-orchid-hawai-i-kohala-coast-hi.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2F176725bc-1a44-4ef1-bbc5-6664f45821fc%2Fimages%2Fefa5a98d657e427cb659b33de5f9d8a1_large!_!b350795010380104afc0f344971edfc3.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/kohala-coast/hotel/fairmont-orchid-hawai-i/venue-176725bc-1a44-4ef1-bbc5-6664f45821fc?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Trump National Doral Miami,Doral,FL,Hotel,Trump Hotels,69,643,24079,133753,images/trump-national-doral-miami-doral-fl.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2F4b253563-e05b-4f40-abb1-f10fc3d32b8f%2Fimages%2F93f59daf977a4c4db9042d3c6d481928_large!_!88444a436afcc44e26b835fe4a2a2eac.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/doral/hotel/trump-national-doral-miami/venue-4b253563-e05b-4f40-abb1-f10fc3d32b8f?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Opal Grand Oceanfront Resort & Spa,Delray Beach,FL,Resort,Independent / Other,17,278,8184,30000,images/opal-grand-oceanfront-resort-and-spa-delray-beach-fl.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2Fa1617753-a65d-41a3-bf3e-20fb26cbb85a%2Fimages%2Fbd470a3ea41d4f519317f1857f9e69e5_large!_!18f05b1b12301b0ca593c6db400d30da.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/delray-beach/resort/opal-grand-oceanfront-resort-spa/venue-a1617753-a65d-41a3-bf3e-20fb26cbb85a?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
Outrigger Kona Resort & Spa (Peregrine Hospitality),Kailua-Kona,HI,Resort,Outrigger Hotels & Resorts,23,511,26550,110000,images/outrigger-kona-resort-and-spa-peregrine-hospitality-kailua-kona-hi.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2Fcsn%2Fc0ed6508-518d-4a5e-9396-010c2f118563%2Fimages%2F2cdf48b52a084fff9695d474f1892654_large!_!5dafa529d602b7e0ea2c9ea21d1072f4.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/kailua-kona/resort/outrigger-kona-resort-spa-peregrine-hospitality-/venue-c0ed6508-518d-4a5e-9396-010c2f118563?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
"Koloa Landing Resort at Poipu, Autograph Collection",Koloa,HI,Hotel,Marriott Bonvoy,13,298,13300,60779,images/koloa-landing-resort-at-poipu-autograph-collection-koloa-hi.jpg,https://www.cvent.com/venues/_next/image?url=https%3A%2F%2Fimages.cvent.com%2FCSN%2F75dc7472-93b0-441b-ad76-5fceb5c9a6fa%2Fimages%2F5cd60303943d4dd6a61526b2ba25e3e1_LARGE!_!c14a569ce38129696964d62d01c8eed4.jpg&w=384&q=50,https://www.cvent.com/venues/en-US/koloa/hotel/koloa-landing-resort-at-poipu-autograph-collection/venue-75dc7472-93b0-441b-ad76-5fceb5c9a6fa?sort=CVENT_PICKS&filter=eJxVjkELgkAUhP_LO3uoLoG31V4m6a65q2kRi-QeBJUwLUT87-16iHqHgXl8M8wEKdIEpcgjBPsKXvYGC8bLqPW0zbWK7Ag3C3Y-jwKSLyA3pMupJCnxA-IEqDnjKfv96VRMhE89zU9Qtfd6KFXSdkWvylS1g3qC3XeDsuBV1Iub5tmCfnwosIHiWXIksXswI5gggQwRTZ3kEXHRdDZVWzVDA_ZmpU9naRI6GEu2_7IxYyH_Y9eref4ALdRKbw&geo=eJx9kV9vgjAUxb_K0mdH-GMp9U3RGbaIUyRzWRbTQZUmpTWlZDjDd18xkYdp9tT03PPrubf3DPZSlURrmieUqKzY0EaDEUgFM9JDoommFRgAZu6M8DmVB0WOBcueGNdUGedkmcbTKJ7vJsutMX7JWuRMHCayuVrOQJ-O9F9rZxJS6WJGKv0qmdCdwok5kGshO0AODAaASwFGj75veQ72EBy2A1DJWhdv9C_lQAsh33Y8fKUc5Fkuxq6L_bY14KEf5ULeNLsYb6NFuthNo2QzjsOZabgkDSvrEozsG7wP9gIL4SHE0O2Dbd-C3jDwEO5yMyn2LKcdolVNO6EWWp1CmXexaQJ6KSYlvbOLIycZjXJTCYvoOfx5P8EocXy-Wq_Unq7gC1w238Yn7uOV-XJOx3muaFVtLsN-XBO71yU3q84IB5_tL-pOr9s&ts=1781544185785,,,,
